Шаг №  1 	 В момент времени:  11 	 0  ->  1 	За время 0.01 	 Вероятности [1. 0.] 
Шаг №  49 	 В момент времени:  48530 	 2  ->  2 	За время 1.399 	 Вероятности [0.5 0.5] 
Шаг №  50 	 В момент времени:  49213 	 2  ->  2 	За время 0.684 	 Вероятности [0.5 0.5] 
Шаг №  51 	 В момент времени:  49989 	 2  ->  1 	За время 0.777 	 Вероятности [0.5 0.5] 
Шаг №  52 	 В момент времени:  50127 	 1  ->  1 	За время 0.139 	 Вероятности [0.8 0.2] 
Шаг №  53 	 В момент времени:  50322 	 1  ->  1 	За время 0.196 	 Вероятности [0.8 0.2] 
Шаг №  54 	 В момент времени:  50912 	 1  ->  1 	За время 0.59 	 Вероятности [0.8 0.2] 
Шаг №  55 	 В момент времени:  51973 	 1  ->  2 	За время 1.062 	 Вероятности [0.8 0.2] 
Шаг №  56 	 В момент времени:  52457 	 2  ->  1 	За время 0.484 	 Вероятности [0.5 0.5] 
Шаг №  57 	 В момент времени:  52468 	 1  ->  1 	За время 0.011 	 Вероятности [0.8 0.2] 
Шаг №  58 	 В момент времени:  52613 	 1  ->  1 	За время 0.146 	 Вероятности [0.8 0.2] 
Шаг №  59 	 В момент времени:  53846 	 1  ->  1 	За время 1.233 	 Вероятности [0.8 0.2] 
Шаг №  60 	 В момент времени:  54097 	 1  ->  1 	За время 0.252 	 Вероятности [0.8 0.2] 
Шаг №  61 	 В момент времени:  55313 	 1  ->  1 	За время 1.217 	 Вероятности [0.8 0.2] 
Шаг №  62 	 В момент времени:  58230 	 1  ->  2 	За время 2.917 	 Вероятности [0.8 0.2] 
Шаг №  63 	 В момент времени:  59430 	 2  ->  1 	За время 1.2 	 Вероятности [0.5 0.5] 
Шаг №  64 	 В момент времени:  59646 	 1  ->  1 	За время 0.216 	 Вероятности [0.8 0.2] 
Шаг №  65 	 В момент времени:  59751 	 1  ->  2 	За время 0.105 	 Вероятности [0.8 0.2] 
Шаг №  66 	 В момент времени:  60165 	 2  ->  2 	За время 0.414 	 Вероятности [0.5 0.5] 
Шаг №  67 	 В момент времени:  62403 	 2  ->  2 	За время 2.239 	 Вероятности [0.5 0.5] 
Шаг №  68 	 В момент времени:  62818 	 2  ->  2 	За время 0.416 	 Вероятности [0.5 0.5] 
Шаг №  69 	 В момент времени:  64050 	 2  ->  1 	За время 1.232 	 Вероятности [0.5 0.5] 
Шаг №  70 	 В момент времени:  64328 	 1  ->  1 	За время 0.279 	 Вероятности [0.8 0.2] 
Шаг №  71 	 В момент времени:  64628 	 1  ->  2 	За время 0.3 	 Вероятности [0.8 0.2] 
Шаг №  72 	 В момент времени:  66083 	 2  ->  2 	За время 1.455 	 Вероятности [0.5 0.5] 
Шаг №  73 	 В момент времени:  66979 	 2  ->  2 	За время 0.897 	 Вероятности [0.5 0.5] 
Шаг №  74 	 В момент времени:  67059 	 2  ->  1 	За время 0.08 	 Вероятности [0.5 0.5] 
Шаг №  75 	 В момент времени:  67141 	 1  ->  2 	За время 0.082 	 Вероятности [0.8 0.2] 
Шаг №  76 	 В момент времени:  67237 	 2  ->  2 	За время 0.096 	 Вероятности [0.5 0.5] 
Шаг №  77 	 В момент времени:  68033 	 2  ->  2 	За время 0.797 	 Вероятности [0.5 0.5] 
Шаг №  78 	 В момент времени:  68239 	 2  ->  1 	За время 0.207 	 Вероятности [0.5 0.5] 
Шаг №  79 	 В момент времени:  68500 	 1  ->  1 	За время 0.262 	 Вероятности [0.8 0.2] 
Шаг №  80 	 В момент времени:  69228 	 1  ->  1 	За время 0.729 	 Вероятности [0.8 0.2] 
Шаг №  81 	 В момент времени:  70302 	 1  ->  1 	За время 1.074 	 Вероятности [0.8 0.2] 
Шаг №  82 	 В момент времени:  70670 	 1  ->  1 	За время 0.369 	 Вероятности [0.8 0.2] 
Шаг №  83 	 В момент времени:  71754 	 1  ->  1 	За время 1.084 	 Вероятности [0.8 0.2] 
Шаг №  84 	 В момент времени:  72218 	 1  ->  1 	За время 0.464 	 Вероятности [0.8 0.2] 
Шаг №  85 	 В момент времени:  74314 	 1  ->  2 	За время 2.096 	 Вероятности [0.8 0.2] 
Шаг №  86 	 В момент времени:  74836 	 2  ->  1 	За время 0.523 	 Вероятности [0.5 0.5] 
Шаг №  87 	 В момент времени:  75173 	 1  ->  1 	За время 0.337 	 Вероятности [0.8 0.2] 
Шаг №  88 	 В момент времени:  76859 	 1  ->  1 	За время 1.686 	 Вероятности [0.8 0.2] 
Шаг №  89 	 В момент времени:  80439 	 1  ->  1 	За время 3.58 	 Вероятности [0.8 0.2] 
Шаг №  90 	 В момент времени:  82095 	 1  ->  2 	За время 1.657 	 Вероятности [0.8 0.2] 
Шаг №  91 	 В момент времени:  82385 	 2  ->  1 	За время 0.291 	 Вероятности [0.5 0.5] 
Шаг №  92 	 В момент времени:  82780 	 1  ->  1 	За время 0.396 	 Вероятности [0.8 0.2] 
Шаг №  93 	 В момент времени:  84563 	 1  ->  1 	За время 1.784 	 Вероятности [0.8 0.2] 
Шаг №  94 	 В момент времени:  85639 	 1  ->  1 	За время 1.077 	 Вероятности [0.8 0.2] 
Шаг №  95 	 В момент времени:  85888 	 1  ->  2 	За время 0.25 	 Вероятности [0.8 0.2] 
Шаг №  96 	 В момент времени:  86350 	 2  ->  2 	За время 0.463 	 Вероятности [0.5 0.5] 
Шаг №  97 	 В момент времени:  87015 	 2  ->  2 	За время 0.665 	 Вероятности [0.5 0.5] 
Шаг №  98 	 В момент времени:  87293 	 2  ->  2 	За время 0.278 	 Вероятности [0.5 0.5] 
Шаг №  99 	 В момент времени:  88599 	 2  ->  1 	За время 1.307 	 Вероятности [0.5 0.5] 
Шаг №  100 	 В момент времени:  88731 	 1  ->  1 	За время 0.132 	 Вероятности [0.8 0.2] 
Шаг №  101 	 В момент времени:  89175 	 1  ->  1 	За время 0.444 	 Вероятности [0.8 0.2] 
Шаг №  102 	 В момент времени:  90963 	 1  ->  1 	За время 1.788 	 Вероятности [0.8 0.2] 
Шаг №  103 	 В момент времени:  91085 	 1  ->  1 	За время 0.123 	 Вероятности [0.8 0.2] 
Шаг №  104 	 В момент времени:  91168 	 1  ->  1 	За время 0.083 	 Вероятности [0.8 0.2] 
Шаг №  105 	 В момент времени:  92459 	 1  ->  2 	За время 1.292 	 Вероятности [0.8 0.2] 
Шаг №  106 	 В момент времени:  94307 	 2  ->  2 	За время 1.849 	 Вероятности [0.5 0.5] 
Шаг №  107 	 В момент времени:  94499 	 2  ->  2 	За время 0.192 	 Вероятности [0.5 0.5] 
Шаг №  108 	 В момент времени:  94917 	 2  ->  2 	За время 0.418 	 Вероятности [0.5 0.5] 
Шаг №  109 	 В момент времени:  95303 	 2  ->  1 	За время 0.386 	 Вероятности [0.5 0.5] 
Шаг №  110 	 В момент времени:  95584 	 1  ->  1 	За время 0.281 	 Вероятности [0.8 0.2] 
Шаг №  111 	 В момент времени:  97216 	 1  ->  1 	За время 1.633 	 Вероятности [0.8 0.2] 
Шаг №  112 	 В момент времени:  97934 	 1  ->  1 	За время 0.719 	 Вероятности [0.8 0.2] 
Шаг №  113 	 В момент времени:  98893 	 1  ->  2 	За время 0.96 	 Вероятности [0.8 0.2] 
Шаг №  114 	 В момент времени:  100836 	 2  ->  2 	За время 1.944 	 Вероятности [0.5 0.5] 
Шаг №  115 	 В момент времени:  101897 	 2  ->  1 	За время 1.062 	 Вероятности [0.5 0.5] 
Шаг №  116 	 В момент времени:  102513 	 1  ->  1 	За время 0.616 	 Вероятности [0.8 0.2] 
Шаг №  117 	 В момент времени:  104585 	 1  ->  1 	За время 2.073 	 Вероятности [0.8 0.2] 
Шаг №  118 	 В момент времени:  105134 	 1  ->  1 	За время 0.549 	 Вероятности [0.8 0.2] 
Шаг №  119 	 В момент времени:  105713 	 1  ->  1 	За время 0.579 	 Вероятности [0.8 0.2] 
Шаг №  120 	 В момент времени:  106014 	 1  ->  2 	За время 0.301 	 Вероятности [0.8 0.2] 
Шаг №  121 	 В момент времени:  106885 	 2  ->  2 	За время 0.871 	 Вероятности [0.5 0.5] 
Шаг №  122 	 В момент времени:  108788 	 2  ->  2 	За время 1.903 	 Вероятности [0.5 0.5] 
Шаг №  123 	 В момент времени:  108990 	 2  ->  1 	За время 0.203 	 Вероятности [0.5 0.5] 
Шаг №  124 	 В момент времени:  110366 	 1  ->  2 	За время 1.376 	 Вероятности [0.8 0.2] 
Шаг №  125 	 В момент времени:  112136 	 2  ->  1 	За время 1.77 	 Вероятности [0.5 0.5] 
Шаг №  126 	 В момент времени:  113984 	 1  ->  1 	За время 1.849 	 Вероятности [0.8 0.2] 
Шаг №  127 	 В момент времени:  115133 	 1  ->  1 	За время 1.149 	 Вероятности [0.8 0.2] 
Шаг №  128 	 В момент времени:  119408 	 1  ->  1 	За время 4.276 	 Вероятности [0.8 0.2] 
Шаг №  129 	 В момент времени:  121273 	 1  ->  1 	За время 1.866 	 Вероятности [0.8 0.2] 
Шаг №  130 	 В момент времени:  122108 	 1  ->  1 	За время 0.836 	 Вероятности [0.8 0.2] 
Шаг №  131 	 В момент времени:  122207 	 1  ->  1 	За время 0.099 	 Вероятности [0.8 0.2] 
Шаг №  132 	 В момент времени:  123313 	 1  ->  1 	За время 1.107 	 Вероятности [0.8 0.2] 
Шаг №  133 	 В момент времени:  123335 	 1  ->  1 	За время 0.023 	 Вероятности [0.8 0.2] 
Шаг №  134 	 В момент времени:  123948 	 1  ->  1 	За время 0.614 	 Вероятности [0.8 0.2] 
Шаг №  135 	 В момент времени:  123976 	 1  ->  1 	За время 0.028 	 Вероятности [0.8 0.2] 
Шаг №  136 	 В момент времени:  124949 	 1  ->  2 	За время 0.974 	 Вероятности [0.8 0.2] 
Шаг №  137 	 В момент времени:  126004 	 2  ->  1 	За время 1.055 	 Вероятности [0.5 0.5] 
Шаг №  138 	 В момент времени:  126275 	 1  ->  1 	За время 0.272 	 Вероятности [0.8 0.2] 
Шаг №  139 	 В момент времени:  126718 	 1  ->  1 	За время 0.444 	 Вероятности [0.8 0.2] 
Шаг №  140 	 В момент времени:  130417 	 1  ->  1 	За время 3.7 	 Вероятности [0.8 0.2] 
Шаг №  141 	 В момент времени:  130788 	 1  ->  1 	За время 0.371 	 Вероятности [0.8 0.2] 
Шаг №  142 	 В момент времени:  131030 	 1  ->  1 	За время 0.242 	 Вероятности [0.8 0.2] 
Шаг №  143 	 В момент времени:  131477 	 1  ->  1 	За время 0.447 	 Вероятности [0.8 0.2] 
Шаг №  144 	 В момент времени:  132100 	 1  ->  1 	За время 0.623 	 Вероятности [0.8 0.2] 
Шаг №  145 	 В момент времени:  133473 	 1  ->  2 	За время 1.373 	 Вероятности [0.8 0.2] 
Шаг №  146 	 В момент времени:  134272 	 2  ->  2 	За время 0.799 	 Вероятности [0.5 0.5] 
Шаг №  147 	 В момент времени:  134698 	 2  ->  1 	За время 0.426 	 Вероятности [0.5 0.5] 
Шаг №  148 	 В момент времени:  134746 	 1  ->  1 	За время 0.049 	 Вероятности [0.8 0.2] 
Шаг №  149 	 В момент времени:  135138 	 1  ->  1 	За время 0.392 	 Вероятности [0.8 0.2] 
Шаг №  150 	 В момент времени:  135252 	 1  ->  2 	За время 0.115 	 Вероятности [0.8 0.2] 
Шаг №  151 	 В момент времени:  136435 	 2  ->  1 	За время 1.184 	 Вероятности [0.5 0.5] 
Шаг №  152 	 В момент времени:  137088 	 1  ->  1 	За время 0.653 	 Вероятности [0.8 0.2] 
Шаг №  153 	 В момент времени:  137828 	 1  ->  1 	За время 0.74 	 Вероятности [0.8 0.2] 
Шаг №  154 	 В момент времени:  137966 	 1  ->  1 	За время 0.139 	 Вероятности [0.8 0.2] 
Шаг №  155 	 В момент времени:  139550 	 1  ->  1 	За время 1.585 	 Вероятности [0.8 0.2] 
Шаг №  156 	 В момент времени:  139692 	 1  ->  1 	За время 0.142 	 Вероятности [0.8 0.2] 
Шаг №  157 	 В момент времени:  140101 	 1  ->  1 	За время 0.409 	 Вероятности [0.8 0.2] 
Шаг №  158 	 В момент времени:  140168 	 1  ->  1 	За время 0.067 	 Вероятности [0.8 0.2] 
Шаг №  159 	 В момент времени:  140731 	 1  ->  1 	За время 0.564 	 Вероятности [0.8 0.2] 
Шаг №  160 	 В момент времени:  141784 	 1  ->  1 	За время 1.053 	 Вероятности [0.8 0.2] 
Шаг №  161 	 В момент времени:  144267 	 1  ->  1 	За время 2.484 	 Вероятности [0.8 0.2] 
Шаг №  162 	 В момент времени:  145060 	 1  ->  1 	За время 0.793 	 Вероятности [0.8 0.2] 
Шаг №  163 	 В момент времени:  145731 	 1  ->  1 	За время 0.672 	 Вероятности [0.8 0.2] 
Шаг №  164 	 В момент времени:  147549 	 1  ->  1 	За время 1.819 	 Вероятности [0.8 0.2] 
Шаг №  165 	 В момент времени:  147678 	 1  ->  1 	За время 0.129 	 Вероятности [0.8 0.2] 
Шаг №  166 	 В момент времени:  147698 	 1  ->  1 	За время 0.02 	 Вероятности [0.8 0.2] 
Шаг №  167 	 В момент времени:  148681 	 1  ->  2 	За время 0.983 	 Вероятности [0.8 0.2] 
Шаг №  168 	 В момент времени:  148728 	 2  ->  2 	За время 0.047 	 Вероятности [0.5 0.5] 
Шаг №  169 	 В момент времени:  153850 	 2  ->  1 	За время 5.122 	 Вероятности [0.5 0.5] 
Шаг №  170 	 В момент времени:  154954 	 1  ->  2 	За время 1.105 	 Вероятности [0.8 0.2] 
Шаг №  171 	 В момент времени:  155393 	 2  ->  1 	За время 0.44 	 Вероятности [0.5 0.5] 
Шаг №  172 	 В момент времени:  155453 	 1  ->  2 	За время 0.061 	 Вероятности [0.8 0.2] 
Шаг №  173 	 В момент времени:  157573 	 2  ->  1 	За время 2.12 	 Вероятности [0.5 0.5] 
Шаг №  174 	 В момент времени:  162660 	 1  ->  1 	За время 5.087 	 Вероятности [0.8 0.2] 
Шаг №  175 	 В момент времени:  163339 	 1  ->  1 	За время 0.68 	 Вероятности [0.8 0.2] 
Шаг №  176 	 В момент времени:  165010 	 1  ->  2 	За время 1.672 	 Вероятности [0.8 0.2] 
Шаг №  177 	 В момент времени:  166267 	 2  ->  1 	За время 1.257 	 Вероятности [0.5 0.5] 
Шаг №  178 	 В момент времени:  166419 	 1  ->  1 	За время 0.153 	 Вероятности [0.8 0.2] 
Шаг №  179 	 В момент времени:  166517 	 1  ->  1 	За время 0.099 	 Вероятности [0.8 0.2] 
Шаг №  180 	 В момент времени:  166832 	 1  ->  1 	За время 0.315 	 Вероятности [0.8 0.2] 
Шаг №  181 	 В момент времени:  167743 	 1  ->  1 	За время 0.911 	 Вероятности [0.8 0.2] 
Шаг №  182 	 В момент времени:  168197 	 1  ->  1 	За время 0.455 	 Вероятности [0.8 0.2] 
Шаг №  183 	 В момент времени:  169425 	 1  ->  2 	За время 1.229 	 Вероятности [0.8 0.2] 
Шаг №  184 	 В момент времени:  169699 	 2  ->  1 	За время 0.274 	 Вероятности [0.5 0.5] 
Шаг №  185 	 В момент времени:  169983 	 1  ->  1 	За время 0.285 	 Вероятности [0.8 0.2] 
Шаг №  186 	 В момент времени:  174677 	 1  ->  1 	За время 4.695 	 Вероятности [0.8 0.2] 
Шаг №  187 	 В момент времени:  175118 	 1  ->  1 	За время 0.442 	 Вероятности [0.8 0.2] 
Шаг №  188 	 В момент времени:  175501 	 1  ->  1 	За время 0.383 	 Вероятности [0.8 0.2] 
Шаг №  189 	 В момент времени:  176883 	 1  ->  1 	За время 1.382 	 Вероятности [0.8 0.2] 
Шаг №  190 	 В момент времени:  176925 	 1  ->  1 	За время 0.042 	 Вероятности [0.8 0.2] 
Шаг №  191 	 В момент времени:  178094 	 1  ->  1 	За время 1.169 	 Вероятности [0.8 0.2] 
Шаг №  192 	 В момент времени:  179132 	 1  ->  1 	За время 1.038 	 Вероятности [0.8 0.2] 
Шаг №  193 	 В момент времени:  179802 	 1  ->  1 	За время 0.671 	 Вероятности [0.8 0.2] 
Шаг №  194 	 В момент времени:  180150 	 1  ->  1 	За время 0.349 	 Вероятности [0.8 0.2] 
Шаг №  195 	 В момент времени:  180407 	 1  ->  2 	За время 0.257 	 Вероятности [0.8 0.2] 
Шаг №  196 	 В момент времени:  181080 	 2  ->  2 	За время 0.673 	 Вероятности [0.5 0.5] 
Шаг №  197 	 В момент времени:  182193 	 2  ->  1 	За время 1.113 	 Вероятности [0.5 0.5] 
Шаг №  198 	 В момент времени:  183297 	 1  ->  1 	За время 1.104 	 Вероятности [0.8 0.2] 
Шаг №  199 	 В момент времени:  185733 	 1  ->  1 	За время 2.436 	 Вероятности [0.8 0.2] 
Шаг №  200 	 В момент времени:  185849 	 1  ->  2 	За время 0.117 	 Вероятности [0.8 0.2] 
Шаг №  201 	 В момент времени:  186620 	 2  ->  2 	За время 0.772 	 Вероятности [0.5 0.5] 
Шаг №  202 	 В момент времени:  188593 	 2  ->  1 	За время 1.974 	 Вероятности [0.5 0.5] 
Шаг №  203 	 В момент времени:  189015 	 1  ->  1 	За время 0.422 	 Вероятности [0.8 0.2] 
Шаг №  204 	 В момент времени:  189072 	 1  ->  2 	За время 0.058 	 Вероятности [0.8 0.2] 
Шаг №  205 	 В момент времени:  189248 	 2  ->  2 	За время 0.177 	 Вероятности [0.5 0.5] 
Шаг №  206 	 В момент времени:  189756 	 2  ->  1 	За время 0.509 	 Вероятности [0.5 0.5] 
Шаг №  207 	 В момент времени:  193138 	 1  ->  1 	За время 3.382 	 Вероятности [0.8 0.2] 
Шаг №  208 	 В момент времени:  193410 	 1  ->  2 	За время 0.273 	 Вероятности [0.8 0.2] 
Шаг №  209 	 В момент времени:  195176 	 2  ->  1 	За время 1.766 	 Вероятности [0.5 0.5] 
Шаг №  210 	 В момент времени:  196515 	 1  ->  1 	За время 1.34 	 Вероятности [0.8 0.2] 
Шаг №  211 	 В момент времени:  198167 	 1  ->  2 	За время 1.652 	 Вероятности [0.8 0.2] 
Шаг №  212 	 В момент времени:  199011 	 2  ->  2 	За время 0.845 	 Вероятности [0.5 0.5] 
Шаг №  213 	 В момент времени:  199239 	 2  ->  2 	За время 0.228 	 Вероятности [0.5 0.5] 
Шаг №  214 	 В момент времени:  201300 	 2  ->  1 	За время 2.062 	 Вероятности [0.5 0.5] 
Шаг №  215 	 В момент времени:  202220 	 1  ->  1 	За время 0.921 	 Вероятности [0.8 0.2] 
Шаг №  216 	 В момент времени:  202288 	 1  ->  1 	За время 0.068 	 Вероятности [0.8 0.2] 
Шаг №  217 	 В момент времени:  202559 	 1  ->  1 	За время 0.272 	 Вероятности [0.8 0.2] 
Шаг №  218 	 В момент времени:  202964 	 1  ->  1 	За время 0.406 	 Вероятности [0.8 0.2] 
Шаг №  219 	 В момент времени:  203498 	 1  ->  1 	За время 0.535 	 Вероятности [0.8 0.2] 
Шаг №  220 	 В момент времени:  204704 	 1  ->  1 	За время 1.207 	 Вероятности [0.8 0.2] 
Шаг №  221 	 В момент времени:  207740 	 1  ->  1 	За время 3.036 	 Вероятности [0.8 0.2] 
Шаг №  222 	 В момент времени:  207961 	 1  ->  2 	За время 0.222 	 Вероятности [0.8 0.2] 
Шаг №  223 	 В момент времени:  208970 	 2  ->  2 	За время 1.009 	 Вероятности [0.5 0.5] 
Шаг №  224 	 В момент времени:  212090 	 2  ->  2 	За время 3.121 	 Вероятности [0.5 0.5] 
Шаг №  225 	 В момент времени:  212936 	 2  ->  2 	За время 0.847 	 Вероятности [0.5 0.5] 
Шаг №  226 	 В момент времени:  213993 	 2  ->  1 	За время 1.057 	 Вероятности [0.5 0.5] 
Шаг №  227 	 В момент времени:  215835 	 1  ->  1 	За время 1.842 	 Вероятности [0.8 0.2] 
Шаг №  228 	 В момент времени:  216727 	 1  ->  1 	За время 0.893 	 Вероятности [0.8 0.2] 
Шаг №  229 	 В момент времени:  217936 	 1  ->  1 	За время 1.21 	 Вероятности [0.8 0.2] 
Шаг №  230 	 В момент времени:  218209 	 1  ->  1 	За время 0.274 	 Вероятности [0.8 0.2] 
Шаг №  231 	 В момент времени:  221743 	 1  ->  1 	За время 3.534 	 Вероятности [0.8 0.2] 
Шаг №  232 	 В момент времени:  222295 	 1  ->  1 	За время 0.552 	 Вероятности [0.8 0.2] 
Шаг №  233 	 В момент времени:  225147 	 1  ->  1 	За время 2.853 	 Вероятности [0.8 0.2] 
Шаг №  234 	 В момент времени:  225804 	 1  ->  1 	За время 0.657 	 Вероятности [0.8 0.2] 
Шаг №  235 	 В момент времени:  227474 	 1  ->  1 	За время 1.67 	 Вероятности [0.8 0.2] 
Шаг №  236 	 В момент времени:  228174 	 1  ->  2 	За время 0.701 	 Вероятности [0.8 0.2] 
Шаг №  237 	 В момент времени:  228191 	 2  ->  1 	За время 0.017 	 Вероятности [0.5 0.5] 
Шаг №  238 	 В момент времени:  229523 	 1  ->  2 	За время 1.332 	 Вероятности [0.8 0.2] 
Шаг №  239 	 В момент времени:  230100 	 2  ->  2 	За время 0.577 	 Вероятности [0.5 0.5] 
Шаг №  240 	 В момент времени:  230341 	 2  ->  1 	За время 0.242 	 Вероятности [0.5 0.5] 
Шаг №  241 	 В момент времени:  230671 	 1  ->  2 	За время 0.33 	 Вероятности [0.8 0.2] 
Шаг №  242 	 В момент времени:  231708 	 2  ->  2 	За время 1.038 	 Вероятности [0.5 0.5] 
Шаг №  243 	 В момент времени:  232350 	 2  ->  2 	За время 0.642 	 Вероятности [0.5 0.5] 
Шаг №  244 	 В момент времени:  234314 	 2  ->  2 	За время 1.964 	 Вероятности [0.5 0.5] 
Шаг №  245 	 В момент времени:  235311 	 2  ->  1 	За время 0.998 	 Вероятности [0.5 0.5] 
Шаг №  246 	 В момент времени:  236387 	 1  ->  1 	За время 1.077 	 Вероятности [0.8 0.2] 
Шаг №  247 	 В момент времени:  237301 	 1  ->  1 	За время 0.915 	 Вероятности [0.8 0.2] 
Шаг №  248 	 В момент времени:  237378 	 1  ->  1 	За время 0.078 	 Вероятности [0.8 0.2] 
Шаг №  249 	 В момент времени:  237581 	 1  ->  1 	За время 0.204 	 Вероятности [0.8 0.2] 
Шаг №  250 	 В момент времени:  238779 	 1  ->  1 	За время 1.199 	 Вероятности [0.8 0.2] 
Шаг №  251 	 В момент времени:  240434 	 1  ->  1 	За время 1.655 	 Вероятности [0.8 0.2] 
Шаг №  252 	 В момент времени:  241419 	 1  ->  1 	За время 0.985 	 Вероятности [0.8 0.2] 
Шаг №  253 	 В момент времени:  241667 	 1  ->  1 	За время 0.248 	 Вероятности [0.8 0.2] 
